iter	Passed	Remaining
582	83963	20882
583	84079	20731
584	84225	20588
585	84362	20442
586	84457	20287
587	84598	20142
588	84730	19995
589	84890	19855
590	85024	19709
591	85116	19553
592	85264	19410
593	85364	19257
594	85511	19114
595	85677	18975
596	85814	18830
597	85907	18675
598	86062	18534
599	86202	18389
600	86349	18246
601	86516	18108
602	86679	17968
603	86872	17834
604	87053	17698
605	87231	17561
606	87416	17425
607	87582	17286
608	87704	17137
609	87868	16997
610	88003	16851
611	88165	16711
612	88253	16556
613	88377	16408
614	88561	16272
615	88735	16133
616	88872	15988
617	89053	15850
618	89187	15705
619	89254	15547
620	89388	15401
621	89500	15252
622	89617	15104
623	89767	14961
624	89922	14819
625	90028	14669
626	90186	14527
627	90261	14372
628	90362	14222
629	90510	14079
630	90657	13936
631	90803	13793
632	90899	13642
633	91044	13498
634	91186	13354
635	91308	13208
636	91403	13057
637	91521	12910
638	91624	12761
639	91739	12614
640	91850	12466
641	92029	12327
642	92191	12187
643	92372	12048
644	92517	11905
645	92583	11752
646	92716	11607
647	92804	11457
648	92984	11318
649	93206	11184
650	93359	11042
651	93442	10892
652	93565	10746
653	93713	10603
654	93906	10465
655	94028	10320
656	94162	10175
657	94331	10035
658	94435	9887
659	94569	9743
660	94645	9593
661	94751	9446
662	94921	9305
663	95109	9167
664	95275	9026
665	95354	8876
666	95466	8730
667	95640	8590
668	95804	8449
669	95965	8307
670	96074	8161
671	96219	8018
672	96358	7874
673	96525	7733
674	96703	7593
675	96771	7443
676	96909	7300
677	97102	7160
678	97264	7019
679	97442	6878
680	97614	6736
681	97791	6595
682	97858	6447
683	97961	6301
684	98077	6156
685	98150	6009
686	98307	5866
687	98460	5724
688	98585	5580
689	98699	5435
690	98769	5288
691	98898	5145
692	98989	4999
693	99118	4855
694	99198	4710
695	99326	4566
696	99442	4422
697	99617	4281
698	99724	4137
699	99854	3994
700	99986	3851
701	100111	3707
702	100200	3563
703	100373	3421
704	100528	3279
705	100656	3136
706	100766	2993
707	100822	2848
708	100870	2703
709	100917	2558
710	101004	2415
711	101093	2271
712	101181	2128
713	101257	1985
714	101332	1842
715	101390	1699
716	101440	1556
717	101484	1413
718	101526	1270
719	101562	1128
720	101590	986
721	101625	844
722	101667	703
723	101709	561
724	101729	420
725	101775	280
726	101808	140
727	101832	0
	279
726	101421	139
727	101487	0
